187,七十七銀行,52,6,5
188,常陽銀行,52,6,5
189,池田泉州銀行,52,6,5
190,八千代銀行,53,6,5
191,千葉銀行,56,6,5
192,京都銀行,56,6,5
193,トヨタ,65,7,5
194,三菱ガス化学,58,7,5
195,日本ガイシ,55,7,5
196,本田技研,64,7,5
197,BASF,64,7,5
198,住友電気工業,64,7,5
199,マツダ,58,7,5
200,信越化学工業,64,7,5
201,積水化学工業,58,7,5
202,日本製紙,57,7,5
203,日東電工,58,7,5
204,旭化成,62,7,5
205,日揮,55,7,5
206,日立（SE）,58,7,5
207,DIC,57,7,5
208,富士ゼロックス,61,7,5
209,リコー,61,7,5
210,東レ,61,7,5
211,三菱マテリアル,61,7,5
212,村田製作所,56,7,5
213,パナソニック電工,60,7,5
214,日本精工,54,7,5
215,三井造船,56,7,5
216,J＆J,60,7,5
217,キーエンス,59,7,5
218,日本HP,59,7,5
219,ブリヂストン,59,7,5
220,クラレ,56,7,5
221,諸応和電工,56,7,5
222,コマツ,58,7,5
223,横河電機,56,7,5
224,YKK,55,7,5
225,カネカ,55,7,5
226,日本ゼオン,54,7,5
227,日新製鋼,55,7,5
228,日本触媒,55,7,5
229,王子製紙,55,7,5
230,三菱レイヨン,56,7,5
231,アイシン精機,57,7,5
232,帝人,57,7,5
233,太平洋セメント,54,7,5
234,ルネサス,55,7,5
235,TDK,56,7,5
236,TOTO,56,7,5
237,セイコーエプソン,56,7,5
238,オムロン,56,7,5
239,カシオ計算機,56,7,5
240,日産自動車,60,7,5
241,日野自動車,58,7,5
242,三菱自動車,58,7,5
243,P＆G（マーケ）,72,8,5
244,P＆G（ファイナンス）,67,8,5
245,任天堂,66,8,5
246,P＆G（CMK）,65,8,5
247,味の素,64,8,5
248,キリン麦酒,63,8,5
249,サントリー,63,8,5
250,ユニリーバ,63,8,5
251,花王,63,8,5
252,P＆G（CBD）,62,8,5
253,日清製粉グループ本社,62,8,5
254,住友スリーエム,61,8,5
255,日本たばこ産業,60,8,5
256,王子製紙,60,8,5
257,資生堂,60,8,5
258,武田薬品,59,8,5
259,HOYA,58,8,5
260,サッポロビール,58,8,5
261,明治製菓,58,8,5
262,エーザイ,57,8,5
263,カネボウ,56,8,5
264,アステラス製薬,55,8,5
265,カゴメ,55,8,5
266,キッコーマン,55,8,5
267,ハウス食品,55,8,5
268,ヤクルト,55,8,5
269,ライオン,55,8,5
270,コーセー,54,8,5
271,第一三共,54,8,5
272,明治乳業,54,8,5
273,森永製菓,54,8,5
274,ジョンソン・エンド・ジョンソン,60,8,5
275,タカラトミー,58,8,5
